,username,text,date
0,kabargolkar,"Jangan Sampai Polri Terjebak Dalam Pasal-pasal UU ITE yang Karet dan Multitafsir.""Polri harus memilah dengan baik laporan yang harus diakomodir, jangan sampai ada laporan yang tidak memiliki unsur pidana namun dipaksakan menjadi pidana. Ini kan tidak boleh dilakukan tentunya,"".Andi Rio Idris Padjalangi -Anggota Komisi III DPR RI.Sumber: https://kabargolkar.com/read/kabar_parlemen/13857/arip-jangan-sampai-polri-terjebak-dalam-pasal-pasal-uu-ite-yang-karet-dan-multitafsir.@riopadjalangi #andirioidrispadjalangi @dpr_ri #dprri @golkar.indonesia #golkar @kabargolkar #kabargolkar #uuite5w",2021-02-17T10:50:11.000Z
1,communitypolice,"Petinggi KAMI, Syahganda Nainggolan ditangkap Bareskrim pada Selasa subuh.Anggota Komite Eksekutif Koalisi Aksi Menyelamatkan Indonesia (KAMI) Syahganda Nainggolan ditangkap Bareskim Polri di rumahnya, Selasa (13/10/2020). Saat ini Nainggolan diperiksa Direktorat Siber Bareskrim selama 1x24 jam untuk menentukan statusnya. “Benar, ditangkap Bareskrim,” kata Kadiv Humas Polri Irjen Argo Yuwono saat dihubungi Beritasatu.com Selasa.Syahganda ditangkap dalam kasus dugaan melanggar tindak pidana UU Informasi Transaksi Elektronik (ITE). Khususnya Pasal 14 ayat (1) dan ayat (2) dan atau Pasal 15 UU Nomor 1 Tahun 1946 Tentang Peraturan Hukum Pidana dan atau Pasal 45A ayat (2) Jo Pasal 28 ayat (2) UU Nomor 19 Tahun 2016 Tentang Informasi dan Transaksi Elektronik (ITE)..........@beritasatu#SyahgandaNainggolan #KAMI #Bareskrim #UUITE #Nasional #Berita #BeritaTerkini #InstaNews #News #Info #Indonesia #Viral #NewsUpdate #BeritaSatu #communitypolice23w",2020-10-13T18:08:02.000Z
2,opiniid,"Presiden Joko Widodo mengatakan pemerintah bisa saja mengusulkan revisi UU ITE ke DPR jika aturan itu dianggap tidak memberikan rasa keadilan kepada masyarakat. Jokowi mengaku melihat banyak pihak yang saling melaporkan dengan dasar UU ITE dan tidak sedikit yang merasa dirugikan.Meski demikian, menurutnya semangat dari UU ITE adalah untuk menjaga agar ruang digital Indonesia tetap bersih dan sehat.Kuy lah!------------#opiniquote #quoteoftheday #jokowi #uuite #pasalkaret #undangundang #jokowidodo5w",2021-02-16T06:11:46.000Z
3,kuyou_id,"Ada pesan khusus nih dari bang Coki Pardede gaes!Lebih bijak aja bersosial media ya, karena apa yang kita posting ke media sosial itu pasti ada rekam jejaknya. Jadi bersosial media seperlunya saja itu lebih baik gaes. Ingat, media sosial bukanlah buku diary!_#dariKUuntukYOU #BersamaKuyou #cokipardede #cokipardedereza #podcastdeddycorbuzier #uuite #komedian #standupcomedy #infoupdate #infoseleb #infounik #viral #viralpost #trendingtopic2w",2021-03-13T10:12:31.000Z
4,suara.aruna,Jadi ini what the maksud guys?#uuite4w,2021-02-24T01:34:33.000Z
5,narasinewsroom,"Revisi Undang-Undang Informasi dan Transaksi Elektronik (UU ITE) tak jadi dilakukan karena tak masuk dalam Program Legislasi Nasional (Prolegnas) Prioritas 2021.Wacana revisi ini sebelumnya mengemuka setelah Presiden Joko Widodo mengeluarkan pernyataan soal rencana revisi. Eits, tapi jangan salah, Presiden memakai kata ""kalau"" saat melontarkan wacana revisi ini.#Narasinewsroom #News #BeritaTerkini #UndangUndang #UUITE #Revisi #JokoWidodo #jokowi2w",2021-03-12T06:31:38.000Z
6,opiniid,"Pakde Jokowi belakangan ini mengungkapkan beberapa pernyataan yang membuat netijen yang budiman geger. Gimana gak geger? Pernyataannya berhubungan dengan UU ITE, yang selama ini menjadi salah satu penghalang para netijen untuk mengekspresikan diri dan juga mengkritik kebijakan pemerintahPadahalkan penting untuk dapat kritik dan mau menerima kritik, yoi gak? Nah, Sekarang katanya Jokowi mau merevisi UU ITE, wah kalau ini benar bisa makin geger nih.Dengan pernyataan tersebut Koalisi Masyarakat pun tergerak untuk memberikan masukan dan mengawal proses ini. Yuks baca infografis diatas biar lebih paham.------#uuite #jokowi #jokowidodo #opinitaugaklo #infografis5w",2021-02-17T01:38:16.000Z
7,rockygerungofficial_,"Pada setuju Gak Nih?Terkait UU ITE, Pengacara Hotman Paris Hutapea menyurati Presiden Joko Widodo (Jokowi), Menko Polhukam Mahfud Md, serta Komisi III DPR RI. Dalam isi suratnya, Hotman meminta pemerintah dan DPR menghapus Pasal 27 ayat 3 di UU ITE.Surat itu diunggah Hotman Paris di akun Instagram pribadinya pada Sabtu (20/3/2021). Hotman meminta agar kasus pencemaran nama baik yang semula masuk ke unsur pidana dijadikan unsur perdata.""Usulan kopi Joni ke Pemerintah Indonesia agar Pasal 27 ayat 1 UU ITE dihapus agar pencemaran nama baik dijadikan murni perdata,"" tulis Hotman dalam caption akun Instagramnya.""Setelah berkirim surat diketahui, Hotman hari ini juga bertemu dengan Mahfud Md untuk berdiskusi tentang Pasal 27 Ayat 3 di UU ITE. Dalam kesempatan itu, Hotman juga mempertemukan Mahfud dengan salah satu warga 'korban kasus UU ITE' bernama Vivi Nathalia. Vivi adalah salah seorang mantan terpidana kasus UU ITE. GALMAU Penghasilan 350 - 1 Juta Perhari?Join Aja 👇@dropnshop_resmi#UUITE #HotmanParis#MediaAnies #kebijakanpublik #kebijakanpemerintah #oposisi #aniesbaswedan #DKIJakarta #net #netizen #nettv #kumparan #detik #matanajwa #jakarta #cnnindonesia #jokowi #prabowo #sandiagauno #indonesia #RockyGerung #tvone #metrotv #inews2d",2021-03-26T22:58:22.000Z
8,bangsamahasiswa,"Revisi Undang-Undang Informasi dan Transaksi Elektronik (UU ITE) tak jadi dilakukan karena tak masuk dalam Program Legislasi Nasional (Prolegnas) Prioritas 2021.Wacana revisi ini sebelumnya mengemuka setelah Presiden Joko Widodo mengeluarkan pernyataan soal rencana revisi. Eits, tapi jangan salah, Presiden memakai kata ""kalau"" saat melontarkan wacana revisi ini.Diteruskan dari @narasinewsroom#Narasinewsroom #News #BeritaTerkini #UndangUndang #UUITE #Revisi #JokoWidodo #jokowi2w",2021-03-12T20:44:08.000Z
9,bem_unpar,[AKUI ISU NASIONAL Vol. I (Part 3) / Polisi Virtual: Bebas Bersuara?]Upaya preventif polisi virtual terhadap kasus pidana digital ternyata membawa dampak yang cukup signifikan bagi mahasiswa. Kebebasan berekspresi serta hak-hak privasi mahasiswa telah direnggut demi tercapainya dunia digital yang sehat dan produktif.Sebagian mahasiswa UNPAR pun merasa resah lantaran takut dengan bentuk ketidakadilan yang tidak jelas dalam pelaksanaannya. Kecemasan ini kian membesar karena sebagian mahasiswa UNPAR masih mempertanyakan pasal-pasal karet di dalam UU ITE. Lantas apa yang diutarakan oleh mahasiswa UNPAR dalam menanggapi hal tersebut?Selengkapnya dapat disimak melalui penjelasan di atas!#KEBERMANFAATAN #UNPARKEBERMANFAATAN #virtualpolice #polisivirtual #UUITE #prokontra #medsos #cybercrime #beritanasional #UNPAR #mahasiswa5h,2021-03-29T06:00:31.000Z
10,tabulampot_online_indonesia,Durian TINGGI 2 M ready stok terbatas.Cukup pesan dari Rumah 🏡🏠🏠🏠 AJA .➡️ GARANSI PENGIRIMAN KESELURUHAN WILAYAH INDONESIA➡️BONUS PUPUK PELEBAT BUAH➡️DM/WA 0857-0225-578---#UUITE #HotmanParis #MediaAnies #kebijakanpublik #kebijakanpemerintah #oposisi #aniesbaswedan #DKIJakarta #net #netizen #nettv #kumparan #detik #matanajwa #jakarta #cnnindonesia #jokowi #prabowo #sandiagauno #indonesia #RockyGerung #tvone #metrotv #inews#dukamakasar#jagajarakhindarikerumunan#jagaindonesia#jagakesehatan#dukaindonesia10h,2021-03-29T01:01:13.000Z
